nom_fichier,themes
CRSANR5L17S2022O1N115.xml,"['Évaluation des politiques de prévention en santé publique', 'Accueil des migrants au sein de l’Union européenne', 'Ordre du jour de la prochaine séance']"
CRSANR5L17S2024D1N001.xml,"['Ouverture de la XVII', 'Incendie survenu à Nice', 'Constitution du bureau d’âge', 'Communication de la liste des députés', 'Allocution du doyen d’âge', 'Élection du président de l’Assemblée nationale', '', '', '', 'Allocution de Mme\xa0la présidente', 'Ordre du jour de la prochaine séance']"
CRSANR5L17S2024D1N002.xml,"['Nomination des six vice-présidents, des trois questeurs et des douze secrétaires de l’Assemblée nationale', '', '', '', '', '', '', '', 'Ordre du jour de la prochaine séance']"
CRSANR5L17S2024D1N003.xml,"['Nomination des trois questeurs et des douze secrétaires de l’Assemblée nationale', '', '', '', '', '', 'Installation du bureau']"
CRSANR5L17S2024O1N233.xml,"['Allocution de M.\xa0Volodymyr Zelensky, président de l’Ukraine', '', 'Accompagnement des malades et de la fin de vie', 'Discussion des articles', 'Article\xa06', '', 'Ordre du jour de la prochaine séance']"
CRSANR5L17S2025O1N001.xml,"['Ouverture de la session ordinaire', 'Hommage à Philippine', 'Souhaits de bienvenue', 'Déclaration du Gouvernement et débat', 'Ordre du jour de la prochaine séance']"
CRSANR5L17S2025O1N002.xml,"['Questions au Gouvernement', 'Situation à Mayotte', 'Situation en Nouvelle-Calédonie', 'Situation au Liban', 'Situation dans les outre-mer', 'Négociations salariales', 'Conflit au Proche-Orient', 'Situation dans les outre-mer', 'Fièvre catarrhale ovine', 'Santé mentale', 'Situation en Nouvelle-Calédonie', 'Meurtre de Philippine', 'Ordre du jour de la prochaine séance']"
CRSANR5L17S2025O1N003.xml,"['Démission d’un député', 'Dépôt d’une motion de censure', 'Hommage à Louis Mermaz', 'Questions au Gouvernement', 'Commémorations du 7\xa0octobre 2023', 'Commémorations du 7\xa0octobre 2023', 'Commémorations du 7\xa0octobre 2023', 'Situation au Proche-Orient', 'Narcotrafic à Marseille', 'Actions de la France au Proche-Orient', 'Stratégie diplomatique de la France au Proche-Orient', 'Réforme du règlement Frontex', 'Politique budgétaire', 'Politique budgétaire', 'Négociations commerciales', 'Commémorations du 7\xa0octobre 2023', 'Situation des salariés de Milee', 'Politique budgétaire', 'Mission d’information sur la soumission chimique', 'Négociations commerciales', 'Agression d’une enseignante à Tourcoing', '', 'Motion de censure', '', 'Ordre du jour de la prochaine séance']"
CRSANR5L17S2025O1N004.xml,"['Questions au Gouvernement', 'Précarité des seniors', 'Situation à la Martinique', 'Violence des jeunes', 'Crise agricole', 'Contrat de présence postale territoriale', 'Statut de la Corse', 'Difficultés de la filière viticole', 'Situation à la Martinique', 'Fiscalité des entreprises', 'Crise agricole', 'Crise agricole', '', 'Élection des juges à la Cour de justice de la République', 'Violences commises dans les secteurs du cinéma, de l’audiovisuel, du spectacle vivant, de la mode et de la publicité', 'Présentation', 'Discussion générale', 'Discussion des articles', 'Article unique', 'Vote sur l’article unique', '', 'Manquements des politiques publiques de protection de l’enfance', 'Présentation', 'Discussion générale', 'Élection des juges à la Cour de justice de la République', 'Manquements des politiques publiques de protection de l’enfance', 'Discussion générale', 'Discussion des articles', 'Article unique', 'Vote sur l’article unique', 'Élection des juges à la Cour de justice de la République', 'Ordre du jour de la prochaine séance']"
CRSANR5L17S2025O1N005.xml,"['Débat sur la dette', '', 'Résultats de la gestion et approbation des comptes pour 2023', 'Présentation', 'Motion de rejet préalable', 'Ordre du jour de la prochaine séance']"
CRSANR5L17S2025O1N006.xml,"['Questions au Gouvernement', 'Guerre au Proche-Orient', 'Aide médicale de l’État', 'Vente d’Opella par Sanofi', 'Vente d’Opella par Sanofi', 'Situation au Proche-Orient', 'Sécurité civile', 'Narcotrafics', 'Mesures en faveur des personnes âgées', 'Lutte contre les inondations', 'Qualité de l’eau et pesticides', 'Vente d’Opella par Sanofi', 'Projet de loi de finances', 'Prix de l’électricité', 'Projet de loi de finances pour 2025', 'Politique budgétaire', 'Vente d’Opella par Sanofi', 'Crise viticole', 'Lutte contre l’endométriose', '', 'Prestation de serment de six juges titulaires et de six juges suppléants à la Cour de justice de la République', 'Approbation des comptes de la sécurité sociale pour 2023', 'Motion de rejet préalable', 'Explications de vote', 'Ordre du jour de la prochaine séance']"
CRSANR5L17S2025O1N007.xml,"['Démission d’un député', 'Questions au Gouvernement', 'Budget de l’éducation nationale', 'Ruralité', 'Budget de la transition écologique', 'Financement de la protection sociale', 'Taxe de solidarité sur les billets d’avion', 'Prédation du loup', 'Ressources de l’Agefiph', 'Financement des collectivités locales', 'Avenir de l’entreprise Stenpa', 'Taxes sur le cognac à l’export', 'Lignes à grande vitesse', 'Ordre du jour de la prochaine séance']"
CRSANR5L17S2025O1N008.xml,"['Débat d’orientation et de programmation des finances publiques', 'Ordre du jour de la prochaine séance']"
CRSANR5L17S2025O1N009.xml,"['Projet de loi de finances pour 2025', 'Présentation', 'Discussion générale', 'Ordre du jour de la prochaine séance']"
