nom_fichier,themes
CRSANR5L17S2022O1N115.xml,"['immigration', 'autre', 'santé']"
CRSANR5L17S2024D1N001.xml,"['politique', 'droit', 'autre']"
CRSANR5L17S2024D1N002.xml,"['politique', 'autre']"
CRSANR5L17S2024D1N003.xml,"['politique', 'autre']"
CRSANR5L17S2024O1N233.xml,"['politique', 'autre']"
CRSANR5L17S2025O1N001.xml,"['politique', 'autre']"
CRSANR5L17S2025O1N002.xml,"['politique', 'autre']"
CRSANR5L17S2025O1N003.xml,"['politique', 'éducation', 'défense', 'autre']"
CRSANR5L17S2025O1N004.xml,"['politique', 'culture', 'droit', 'économie', 'autre']"
CRSANR5L17S2025O1N005.xml,['autre']
CRSANR5L17S2025O1N006.xml,"['politique', 'droit', 'défense', 'santé', 'économie', 'autre', 'sécurité']"
CRSANR5L17S2025O1N007.xml,"['politique', 'agriculture', 'social', 'économie', 'autre']"
CRSANR5L17S2025O1N008.xml,"['économie', 'autre']"
CRSANR5L17S2025O1N009.xml,"['économie', 'autre']"
CRSANR5L17S2025O1N010.xml,"['politique', 'social', 'économie', 'autre', 'sécurité']"
CRSANR5L17S2025O1N011.xml,"['économie', 'autre']"
CRSANR5L17S2025O1N012.xml,"['politique', 'défense', 'social', 'économie', 'autre']"
CRSANR5L17S2025O1N013.xml,"['économie', 'autre']"
CRSANR5L17S2025O1N014.xml,"['économie', 'autre']"
CRSANR5L17S2025O1N015.xml,"['économie', 'autre']"
CRSANR5L17S2025O1N016.xml,"['économie', 'autre']"
CRSANR5L17S2025O1N017.xml,"['économie', 'autre']"
CRSANR5L17S2025O1N018.xml,"['économie', 'autre']"
CRSANR5L17S2025O1N019.xml,"['économie', 'autre']"
CRSANR5L17S2025O1N020.xml,"['économie', 'autre']"
CRSANR5L17S2025O1N021.xml,"['économie', 'autre']"
CRSANR5L17S2025O1N022.xml,"['économie', 'autre']"
CRSANR5L17S2025O1N023.xml,"['politique', 'économie', 'autre']"
CRSANR5L17S2025O1N024.xml,"['économie', 'autre']"
CRSANR5L17S2025O1N025.xml,"['politique', 'immigration', 'économie', 'autre', 'environnement']"
CRSANR5L17S2025O1N026.xml,"['économie', 'autre']"
CRSANR5L17S2025O1N027.xml,"['politique', 'transport', 'travail', 'social', 'économie', 'autre', 'environnement']"
CRSANR5L17S2025O1N028.xml,"['économie', 'autre']"
CRSANR5L17S2025O1N029.xml,['autre']
CRSANR5L17S2025O1N030.xml,"['social', 'autre']"
CRSANR5L17S2025O1N031.xml,"['autre', 'social']"
CRSANR5L17S2025O1N032.xml,"['économie', 'autre']"
CRSANR5L17S2025O1N033.xml,"['économie', 'autre']"
CRSANR5L17S2025O1N034.xml,"['économie', 'autre']"
CRSANR5L17S2025O1N035.xml,"['politique', 'social', 'éducation', 'économie', 'autre', 'sécurité']"
CRSANR5L17S2025O1N036.xml,"['droit', 'économie', 'autre']"
CRSANR5L17S2025O1N037.xml,"['politique', 'travail', 'santé', 'éducation', 'économie', 'autre']"
CRSANR5L17S2025O1N038.xml,"['économie', 'autre']"
CRSANR5L17S2025O1N039.xml,"['économie', 'autre']"
CRSANR5L17S2025O1N040.xml,"['économie', 'autre']"
CRSANR5L17S2025O1N041.xml,"['économie', 'autre']"
CRSANR5L17S2025O1N042.xml,"['économie', 'autre']"
CRSANR5L17S2025O1N043.xml,"['économie', 'autre']"
CRSANR5L17S2025O1N044.xml,"['économie', 'autre']"
CRSANR5L17S2025O1N045.xml,"['politique', 'travail', 'économie', 'autre', 'environnement']"
CRSANR5L17S2025O1N046.xml,"['politique', 'agriculture', 'immigration', 'économie', 'autre']"
CRSANR5L17S2025O1N047.xml,"['politique', 'travail', 'santé', 'économie', 'autre']"
CRSANR5L17S2025O1N048.xml,"['économie', 'autre']"
CRSANR5L17S2025O1N049.xml,"['politique', 'droit', 'social', 'économie', 'autre']"
CRSANR5L17S2025O1N050.xml,"['santé', 'social', 'éducation', 'autre', 'sécurité']"
CRSANR5L17S2025O1N051.xml,"['politique', 'droit', 'social', 'économie', 'autre', 'sécurité']"
CRSANR5L17S2025O1N052.xml,['autre']
CRSANR5L17S2025O1N053.xml,"['politique', 'culture', 'santé', 'éducation', 'autre']"
CRSANR5L17S2025O1N054.xml,"['environnement', 'autre']"
CRSANR5L17S2025O1N055.xml,['autre']
CRSANR5L17S2025O1N056.xml,['autre']
CRSANR5L17S2025O1N057.xml,['autre']
CRSANR5L17S2025O1N058.xml,"['santé', 'droit', 'économie', 'autre']"
CRSANR5L17S2025O1N059.xml,"['santé', 'autre']"
CRSANR5L17S2025O1N060.xml,"['droit', 'social', 'santé', 'éducation', 'autre', 'sécurité']"
CRSANR5L17S2025O1N061.xml,"['politique', 'agriculture', 'santé', 'éducation', 'économie', 'autre']"
CRSANR5L17S2025O1N062.xml,"['autre', 'santé']"
CRSANR5L17S2025O1N063.xml,"['politique', 'santé', 'social', 'économie', 'autre', 'environnement']"
CRSANR5L17S2025O1N064.xml,['autre']
CRSANR5L17S2025O1N065.xml,"['politique', 'économie', 'autre']"
CRSANR5L17S2025O1N066.xml,"['politique', 'autre']"
CRSANR5L17S2025O1N067.xml,"['droit', 'autre']"
CRSANR5L17S2025O1N068.xml,"['politique', 'travail', 'défense', 'éducation', 'autre', 'environnement']"
CRSANR5L17S2025O1N069.xml,['autre']
CRSANR5L17S2025O1N070.xml,['autre']
CRSANR5L17S2025O1N071.xml,['autre']
CRSANR5L17S2025O1N072.xml,['autre']
CRSANR5L17S2025O1N073.xml,['autre']
CRSANR5L17S2025O1N074.xml,"['travail', 'santé', 'éducation', 'économie', 'autre', 'sécurité']"
CRSANR5L17S2025O1N075.xml,"['politique', 'défense', 'social', 'économie', 'autre']"
CRSANR5L17S2025O1N076.xml,['autre']
CRSANR5L17S2025O1N077.xml,"['politique', 'culture', 'santé', 'agriculture', 'économie', 'autre', 'environnement']"
CRSANR5L17S2025O1N078.xml,"['autre', 'santé']"
CRSANR5L17S2025O1N079.xml,['autre']
CRSANR5L17S2025O1N080.xml,"['éducation', 'autre']"
CRSANR5L17S2025O1N081.xml,"['social', 'autre']"
CRSANR5L17S2025O1N082.xml,"['politique', 'santé', 'autre']"
